timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1443289855284119,-1,-5,-4,-4,0,-2,-2,-1
1443289855284119,-5,-5,-1,1,-2,-1,0,-1
1443289855286123,-4,-16,-3,-2,1,1,3,0
1443289855286123,-1,7,-1,-1,-1,-1,3,-1
1443289855299129,1,15,4,1,-2,-1,-1,0
1443289855299129,-3,-1,0,-2,-1,1,0,0
1443289855301132,0,-23,-4,0,1,0,-4,-1
1443289855301132,0,7,2,1,0,0,-1,-1
1443289855322145,1,-5,-1,2,0,-1,3,0
1443289855322145,-5,-9,-2,-1,-1,1,1,1
1443289855323145,-4,4,-1,-3,-1,-1,-1,-2
1443289855323145,0,7,-3,-4,0,-2,-5,-1
1443289855344159,0,-8,-2,0,-2,-3,-2,-1
1443289855344159,-5,24,7,3,1,1,-2,0
1443289855346161,6,-7,-6,-4,-2,-2,-2,-2
1443289855346161,-3,-13,-2,0,1,0,0,0
1443289855359170,-3,-10,-1,-2,-2,0,1,-1
1443289855359170,2,9,1,-3,-1,0,0,0
1443289855365180,-7,-6,1,2,1,0,1,0
1443289855365180,-7,-15,-3,-3,-1,-1,-4,-4
1443289855381183,-1,5,-4,-1,0,0,-2,-2
1443289855381183,-3,-9,-4,-1,-2,-2,-1,-1
1443289855389191,2,10,0,1,0,-2,0,0
1443289855389191,4,9,-1,-5,-2,-2,-1,0
1443289855404201,-7,-7,0,6,0,1,-1,-1
1443289855404201,12,14,-1,0,0,-1,-1,0
1443289855406202,-9,-18,1,-1,-2,-1,-1,0
1443289855406202,-3,-4,-8,-1,0,-2,0,-1
1443289855419209,6,10,8,-4,-1,1,-1,1
1443289855419209,-2,-6,0,1,-2,-1,1,-1
1443289855426214,-3,-13,-2,3,1,1,-1,1
1443289855426214,1,5,0,-2,-2,0,0,-1
1443289855442224,-2,1,-2,-5,-1,-2,-2,-2
1443289855442224,2,-3,-1,-3,-1,-2,-1,0
1443289855443225,-2,-5,1,0,0,1,-6,0
1443289855443225,-3,16,4,5,2,1,0,4
1443289855464240,14,5,-4,0,-1,-2,1,0
1443289855464240,-13,-1,0,-3,-3,0,2,-2
1443289855466241,-2,-8,-2,-6,-1,-1,-1,-4
1443289855466241,-3,-5,-3,0,0,-1,-1,-1
1443289855479249,-3,-11,0,0,0,0,-1,0
1443289855479249,5,-10,-5,1,0,-2,-4,0
1443289855485254,-1,17,0,-1,-1,-1,-1,1
1443289855485254,-6,11,3,1,-3,-1,-2,-2
1443289855502269,-1,-2,1,-1,0,0,0,1
1443289855502269,-1,-6,-3,-5,-3,-2,-2,-3
1443289855503266,4,17,-6,2,-1,0,2,0
1443289855503266,3,-12,3,-1,-1,-1,2,-1
1443289855524280,-10,-11,-6,-1,-1,-1,-1,0
1443289855524280,9,15,1,-2,-5,-3,-5,-1
1443289855526281,-4,-7,2,-5,0,0,1,-1
1443289855526281,4,-3,-2,3,-1,0,-2,-1
1443289855539406,-3,-1,-2,0,0,0,-1,-1
1443289855539406,-4,-8,2,0,1,1,0,1
1443289855545295,-1,9,1,-2,-4,-2,1,-1
1443289855545295,0,-12,-2,-4,-3,-2,-2,-2
1443289855562305,-4,-2,1,-2,-2,0,-1,0
1443289855562305,7,20,3,1,1,0,3,0
1443289855563304,-2,15,1,-2,-2,-2,0,-1
1443289855563304,-2,-17,-2,-1,-3,-3,0,-1
1443289855584318,-3,3,-1,-2,-3,-1,-6,-5
1443289855584318,-1,-16,-5,-2,0,1,3,3
1443289855586323,4,4,4,2,1,-2,1,0
1443289855586323,-2,9,1,1,1,-1,2,0
1443289855599329,-3,-4,-1,-2,-1,-3,-2,-2
1443289855599329,-10,-23,-8,-1,1,-1,-4,-2
1443289855605336,2,-3,-1,-1,-1,-1,-2,2
1443289855605336,2,5,2,-1,-3,0,-3,0
1443289855622344,1,15,1,-1,-1,-2,1,0
1443289855622344,-4,-13,-1,-1,0,0,0,-2
1443289855623346,-1,2,0,2,0,0,-1,0
1443289855623346,1,-5,2,-3,1,0,0,0
1443289855644362,-1,2,0,2,-1,0,-1,0
1443289855644362,0,15,-1,-2,-3,-2,-3,-2
1443289855646362,-3,-23,-5,1,0,-2,-2,-2
1443289855646362,-1,-3,-5,-2,0,0,-1,0
1443289855659369,-1,-5,-4,-4,-3,-3,1,-1
1443289855659369,-3,-1,-4,-8,-4,0,-2,0
1443289855667374,0,-2,5,9,0,-1,0,0
1443289855667374,2,-2,0,0,1,0,-1,0
