timestamp,x,y,z
1443289855263105,-0.1875,0.375,0.125
1443289855285121,-1.25,0.1875,0.8125
1443289855300129,-0.3125,0,0.75
1443289855323145,0.375,-0.0625,0.75
1443289855345160,0.5625,0.3125,0.1875
1443289855360170,-0.5625,0.6875,0.9375
1443289855389191,-0.875,0.8125,0.4375
1443289855405201,-1.125,0.5,-0.5
1443289855419209,-0.4375,0.8125,-0.625
1443289855443225,-0.625,1,-0.375
1443289855465240,-0.3125,0.5,0
1443289855479249,0.375,0.25,0.125
1443289855503266,-0.25,0.125,0
1443289855525281,-0.125,0.75,0
1443289855539406,0.3125,0.75,-0.125
1443289855562305,-0.8125,0.875,-0.3125
1443289855585321,-1.5,0.9375,-0.3125
1443289855599329,-1.375,1.5,-0.5
1443289855622344,-0.125,1.6875,-0.75
1443289855645361,-0.125,1.5625,-0.8125
1443289855666375,-0.9375,1.4375,-1.0625
1443289855682542,-2.5,1.3125,-0.875
1443289855705400,-1.6875,1.125,-0.125
1443289855726415,-0.5,0.875,-0.0625
1443289855742535,-0.125,1.25,-0.5
1443289855765439,0.4375,1.5,-0.1875
1443289855786453,-1.25,1.625,-0.4375
1443289855802471,-2.25,1.5625,0
1443289855825481,-1.4375,1.75,-0.25
1443289855846495,-1.4375,1.875,-0.625
1443289855862507,-0.6875,1.375,-0.6875
1443289855885522,-1,1.25,-0.375
1443289855906536,-1.625,1.25,-0.1875
1443289855922546,-1.0625,1,-0.375
1443289855945564,-0.125,1.125,-0.875
1443289855966575,-0.1875,0.6875,-0.6875
1443289855982584,-2,0.875,0.1875
1443289856005602,-1.3125,1.0625,0.5625
1443289856026619,-0.0625,0.75,0.5625
1443289856042626,2,0.5,1.25
1443289856065641,0.9375,0.0625,0.9375
1443289856086654,0.5,0.1875,1.25
1443289856102667,-0.375,0.5625,0.5
1443289856125682,-0.75,0.8125,0.875
1443289856147698,-0.375,0.8125,0.3125
1443289856162706,-0.6875,0.8125,0.125
1443289856185721,-0.9375,1.875,-0.3125
1443289856207735,-1.25,2.25,0.0625
1443289856223747,-1,2.375,0.125
1443289856245763,-0.6875,2.375,0.625
1443289856267776,-1.5,2.375,0.0625
1443289856281785,0.1875,2.4375,0.0625
1443289856305802,0.375,2.3125,0.0625
1443289856327815,-0.0625,1.8125,-0.5625
1443289856341826,-1.375,1.875,0.4375
1443289856364842,-1.0625,1.75,0.125
1443289856387856,-0.8125,1.375,-0.4375
1443289856401865,-0.875,1.125,-0.625
1443289856424880,-0.4375,0.75,-0.5
1443289856447895,-1.5,0.125,-0.375
1443289856461906,-1.3125,0.4375,0.125
1443289856484920,-1.25,0.4375,0.6875
1443289856507936,-0.25,0.375,0.375
1443289856522031,-1.0625,0.5625,0.375
1443289856544960,-0.25,1.1875,0
1443289856567976,1.25,0.8125,0
1443289856581986,0.3125,0.3125,0.125
1443289856605007,-1.5625,0.5625,0.75
1443289856628016,-0.25,1,1.125
1443289856649032,0.375,0.875,0.5625
1443289856665041,0.125,0.1875,0.375
1443289856688056,-0.6875,0.625,0.1875
1443289856709070,-1.375,1.1875,0.4375
1443289856725082,-0.75,1.125,-0.125
1443289856748097,-0.9375,0.6875,-0.0625
1443289856769109,-1.3125,1,-0.25
1443289856785121,-1.5625,0.75,0.1875
1443289856808136,-1.25,0.875,0.3125
1443289856829150,-0.9375,1,0.125
1443289856845161,-0.8125,1.1875,-0.125
1443289856868177,-0.125,1.1875,0.0625
1443289856889194,-0.25,1.1875,0
1443289856905201,-0.25,0.875,0
1443289856928216,-0.8125,0.75,0.5625
1443289856949229,-1.4375,0.875,0.0625
1443289856965244,-1.5625,0.8125,-0.0625
1443289856987255,-0.8125,1.25,-1.125
1443289857009270,-1.0625,1.9375,-1.0625
1443289857025282,-0.6875,1.6875,-1
1443289857048296,-1.625,1.1875,-0.3125
1443289857070312,-1.4375,1.0625,-0.3125
1443289857084320,-1,0.875,-0.0625
1443289857108336,-0.25,0.625,-0.3125
1443289857130351,-0.1875,0.5,-0.3125
1443289857145360,-1,0.25,-0.5
1443289857167381,-0.8125,0.5,0.0625
1443289857190390,-0.9375,0.0625,0.75
1443289857205401,-0.4375,-0.125,0.8125
1443289857227420,-0.1875,0.5625,1.125
1443289857250431,0.0625,0.8125,1.1875
1443289857264440,0.375,0.6875,0.75
1443289857287460,-0.25,0.625,1
1443289857311473,-0.8125,1.0625,0.5625
1443289857324527,-1,0.75,0.4375
1443289857347498,-0.375,1,0.1875
1443289857370514,-0.3125,1,0.125
1443289857384522,-1.125,1.125,-0.75
1443289857407540,-1.0625,0.75,-0.5625
1443289857430552,-1.1875,1.0625,-0.9375
1443289857444561,-0.75,0.75,-0.25
1443289857467577,-0.8125,1.375,-0.1875
1443289857490594,-0.75,1.375,-0.125
1443289857504607,-0.1875,1.375,-0.4375
1443289857527647,-0.375,1.625,-0.0625
1443289857550631,-0.875,1.75,-0.0625
1443289857571645,-1,1.625,-0.375
1443289857587656,-0.8125,1.8125,-0.6875
1443289857610671,-0.6875,1.5625,-0.3125
1443289857631703,-0.875,1.625,-1
1443289857647697,-1.3125,1,-0.9375
1443289857670711,-1.5,1.25,-0.8125
1443289857691726,-1.3125,0.875,-0.625
1443289857707736,-0.375,1.0625,-0.75
1443289857730753,0.625,1.375,-0.8125
1443289857751768,-0.25,0.9375,-1.0625
1443289857767776,-1.3125,0.3125,-0.3125
1443289857790792,-1.5625,0.875,0.25
1443289857811807,-0.75,1.125,0
1443289857827816,0,1.375,-0.1875
1443289857850832,0.0625,1.5625,-0.125
1443289857871846,-0.3125,1.4375,0.3125
1443289857887857,-1.1875,1,0.3125
1443289857910872,-1.75,1,0.75
1443289857931888,-1.125,1.1875,0.5625
1443289857947898,-0.25,0.5625,0.375
1443289857970911,-1.0625,0.5,0.375
1443289857991925,-0.5,0.125,0.4375
1443289858007936,-2.1875,-0.4375,-0.375
1443289858029951,-2.125,-0.875,-0.1875
1443289858052966,-2.0625,-0.6875,-1.5
1443289858067976,-0.25,0,-2.1875
1443289858090148,-0.625,0.6875,-1.9375
1443289858113007,-2.875,1.75,-2
1443289858128018,-3.125,2.875,-2.1875
1443289858150032,-2.5,3.125,-3.1875
1443289858173046,-2.375,2.9375,-3.5
1443289858187057,-1.3125,2.25,-2.5
1443289858210144,-2.1875,1.8125,-1.4375
1443289858233087,-1.9375,1.25,-0.6875
1443289858247095,-1.5,1,-0.1875
1443289858270111,0.0625,0.625,0.375
1443289858293128,0.375,0.625,0.375
1443289858307137,0.1875,1.0625,-0.375
1443289858330151,0,1.4375,-0.125
1443289858353167,-1.1875,1.125,-0.125
1443289858374180,-0.9375,0.5625,0
1443289858390191,0.625,0,-0.375
1443289858413206,0.3125,-0.75,-0.5
1443289858427217,0.3125,-1.625,0.75
1443289858450232,-0.75,-1.3125,1.0625
1443289858473246,1.1875,-0.25,1.8125
1443289858487256,0.8125,0.0625,0.3125
1443289858510280,1.375,1.1875,1.5625
1443289858533287,0.9375,1.875,2.1875
1443289858554301,0.25,2.0625,2.3125
1443289858570313,1.4375,1.9375,3.375
1443289858593328,2.25,1.5,3.5
1443289858614341,2.3125,0.875,3.8125
1443289858630353,1.875,3.75,5.875
1443289858653368,-3.1875,4.0625,8.5625
1443289858674383,-6.5,0.75,8.4375
1443289858690392,0,-1.1875,4.25
1443289858713410,13.3125,2.5625,0.3125
1443289858733422,9.0625,5.375,-2.9375
1443289858750434,-8.9375,4.1875,-1.8125
1443289858772449,-12.375,4.1875,0.3125
1443289858795462,-5.5625,5.75,-0.9375
1443289858810471,1.125,4.0625,-2.375
1443289858833488,6.5625,4.25,-3.6875
1443289858854509,3.1875,4.75,-2.875
1443289858870514,-2,4.6875,-1.0625
1443289858892528,-3.9375,6.25,0
1443289858921546,-3.25,5.8125,0.5625
1443289858930551,-0.9375,5.125,1.25
1443289858952571,-0.0625,5.9375,2.5
1443289858975583,0.4375,6.375,2
1443289858990592,-0.75,6.9375,3.375
1443289859012763,-3,7.25,4.625
