timestamp,x,y,z
1443289855263105,-0.493652,0.563965,0.700684
1443289855285121,-0.489746,0.561035,0.698242
1443289855300129,-0.48877,0.56543,0.70459
1443289855323145,-0.489746,0.564941,0.703125
1443289855345160,-0.490234,0.575684,0.694336
1443289855360170,-0.494141,0.565918,0.696289
1443289855389191,-0.49707,0.568359,0.688965
1443289855405201,-0.498047,0.56543,0.702148
1443289855419209,-0.496094,0.563965,0.691895
1443289855443225,-0.497559,0.571777,0.696289
1443289855465240,-0.490234,0.563965,0.697754
1443289855479249,-0.485352,0.559082,0.699219
1443289855503266,-0.486816,0.567383,0.698242
1443289855525281,-0.492676,0.564453,0.693359
1443289855539406,-0.485352,0.571777,0.702148
1443289855562305,-0.483398,0.571777,0.697266
1443289855585321,-0.490723,0.569336,0.695801
1443289855599329,-0.493164,0.561035,0.695313
1443289855622344,-0.492676,0.561523,0.693359
1443289855645361,-0.498047,0.570801,0.695313
1443289855666375,-0.494629,0.567383,0.699219
1443289855682542,-0.483398,0.567871,0.696777
1443289855705400,-0.488281,0.561523,0.699219
1443289855726415,-0.490723,0.563965,0.70166
1443289855742535,-0.493164,0.571777,0.695801
1443289855765439,-0.492188,0.563477,0.700195
1443289855786453,-0.489746,0.569336,0.699707
1443289855802471,-0.492676,0.569824,0.69043
1443289855825481,-0.495117,0.566406,0.693848
1443289855846495,-0.495605,0.564941,0.692383
1443289855862507,-0.494141,0.565918,0.692383
1443289855885522,-0.492676,0.56543,0.693359
1443289855906536,-0.491211,0.560059,0.69043
1443289855922546,-0.501465,0.556641,0.696777
1443289855945564,-0.500977,0.562988,0.705566
1443289855966575,-0.494141,0.561523,0.694336
1443289855982584,-0.486816,0.570313,0.693848
1443289856005602,-0.501465,0.552246,0.704102
1443289856026619,-0.492188,0.55127,0.699707
1443289856042626,-0.496094,0.556641,0.700195
1443289856065641,-0.493652,0.566406,0.694824
1443289856086654,-0.491699,0.574219,0.699219
1443289856102667,-0.48877,0.573242,0.700195
1443289856125682,-0.488281,0.571777,0.695801
1443289856147698,-0.493164,0.572266,0.692383
1443289856162706,-0.498535,0.570801,0.695801
1443289856185721,-0.48584,0.57666,0.691406
1443289856207735,-0.49707,0.556641,0.699219
1443289856223747,-0.493652,0.568848,0.692383
1443289856245763,-0.495605,0.569824,0.691406
1443289856267776,-0.495117,0.562012,0.692871
1443289856281785,-0.496582,0.563477,0.697266
1443289856305802,-0.493164,0.571289,0.694824
1443289856327815,-0.491211,0.579102,0.695313
1443289856341826,-0.491211,0.566895,0.688477
1443289856364842,-0.49707,0.574707,0.696777
1443289856387856,-0.489746,0.563477,0.699707
1443289856401865,-0.496582,0.563477,0.694336
1443289856424880,-0.5,0.574707,0.696289
1443289856447895,-0.497559,0.560547,0.686523
1443289856461906,-0.489746,0.565918,0.689941
1443289856484920,-0.495117,0.561523,0.697266
1443289856507936,-0.495605,0.56543,0.693359
1443289856522031,-0.492188,0.554688,0.695801
1443289856544960,-0.489258,0.556641,0.696777
1443289856567976,-0.496582,0.57666,0.692871
1443289856581986,-0.49707,0.57373,0.69043
1443289856605007,-0.492188,0.570313,0.692871
1443289856628016,-0.489258,0.565918,0.69873
1443289856649032,-0.490723,0.5625,0.694824
1443289856665041,-0.491699,0.574707,0.690918
1443289856688056,-0.488281,0.575195,0.686035
1443289856709070,-0.48584,0.578125,0.694336
1443289856725082,-0.497559,0.568359,0.693848
